"id","application_stage","application_stage_reason","sample_group","market_scope","company","title","city","category","degree","experience","employment_type","normalized_tech_stack","unmapped_tech_stack","tech_stack","requirements_summary","fit_note","source_type","source_url","posted_at","evidence_checked_at"
"J030","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·VLA/具身算法","中国大陆","越伴动力","运控算法实习生","北京","强化学习与人形运控实习","硕士及以上","要求强化学习项目和人形机器人核心功能研发经历；年限未注明","实习","Python; C++; C; Linux/Ubuntu; 深度学习; PyTorch; 强化学习/RL; 模仿学习/IL; 机器人仿真; Isaac; MuJoCo; Sim-to-Real/仿真","","C; C++; Python; Linux; PyTorch; 强化学习; 模仿学习; Isaac Gym; Isaac Lab; MuJoCo; Sim-to-Real","参与人形机器人强化/模仿学习运控、真机模型部署和Sim-to-Real，要求PyTorch、RL开源库、仿真器及系统集成能力。","技术栈可作为学习清单，但硕士学历和人形机器人经验可能是硬门槛；先做机械臂操作学习，再决定是否追加足式运控路线。","官方招聘详情页","https://luvbotics.com/careers/locomotion-engineer-intern/","未注明","2026-07-31"
"J031","P1 作品/专项补证后","现有端边云、数据平台或 AI 应用经验可迁移，但需先补齐与岗位一致的机器人数据、ROS2 或 Agent 可复现作品。","国内·VLA/具身算法","中国大陆","越伴动力","AI算法工程师-Agentic AI方向","北京","Agentic AI与机器人决策","硕士及以上，特别优秀者可放宽至本科","要求大模型项目、复杂Agent架构或大模型微调经验；年限未注明","未注明","Python; 深度学习; PyTorch; LLM/Agent","机器人决策系统; AI Coding","Python; PyTorch; LLM; Agent/Multi-Agent; 大模型微调; 机器人决策系统; AI Coding","研发大模型家庭陪伴机器人决策系统和多智能体架构，要求复杂Agent项目或微调经验，并明确重视在工作流中使用AI Coding。","候选人的AI开发效率、端云平台和设备控制经验具备差异化，是AI+机器人交叉岗位中较现实的目标；需公开一个可评测的多Agent机器人任务编排项目，而非只描述使用AI编码。","官方招聘详情页","https://luvbotics.com/careers/ai-algorithm-engineer/","未注明","2026-07-31"
"J032","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·VLA/具身算法","中国大陆","越伴动力","AI算法工程师实习生-Agentic AI方向","北京","Agentic AI与机器人决策实习","硕士及以上，特别优秀者可放宽至本科","要求大模型项目、复杂Agent架构或大模型微调经验；年限未注明","实习","Python; 深度学习; PyTorch; LLM/Agent","机器人决策系统; AI Coding","Python; PyTorch; LLM; Agent/Multi-Agent; 大模型微调; 机器人决策系统; AI Coding","参与大模型驱动的家庭陪伴机器人决策与多智能体系统，要求Python/PyTorch、Agent架构或大模型微调项目经验。","本科可放宽使其比多数研究实习更接近，但仍需确认个人是否满足实习身份；技术上应补齐Python/PyTorch微调与具身任务Agent评测。","官方招聘详情页","https://luvbotics.com/careers/ai-algorithm-engineer-intern/","未注明","2026-07-31"
"J033","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","越伴动力","机器人音频感知算法工程师","北京","机器人音频感知","本科及以上","未注明","未注明","Python; C++; 深度学习; PyTorch; 边缘推理; Jetson","FFT/STFT/MFCC; AEC/ANS/AGC/VAD; DOA; Beamforming; ASR/SER; RK3588","C++; Python; PyTorch/TensorFlow; FFT/STFT/MFCC; AEC/ANS/AGC/VAD; DOA; Beamforming; ASR/SER; Jetson; RK3588","研发远场拾音、声源定位、波束形成、语音/情绪识别并在Jetson、RK3588边缘平台部署，要求数字信号处理和深度学习框架。","边缘平台、音视频工具和C工程经验提供部分关联，可迁移至岗位的C++要求但现代C++仍需补证；同时缺少麦克风阵列与DSP算法项目，除非对音频感知有明确兴趣，否则不应分散VLA主线。","官方招聘详情页","https://luvbotics.com/careers/robot-audio-perception-algorithm-engineer/","未注明","2026-07-31"
"J034","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","海尔智家","具身VLA算法工程师","北京","VLA与机器人算法","本科及以上","3年以上","全职","Python; C++; C; ROS 生态; 深度学习; VLM/多模态模型; LLM/Agent; 强化学习/RL; 模仿学习/IL; 计算机视觉","","C/C++; Python; ROS; LLM; VLM; 强化学习; 模仿学习; 计算机视觉; 深度学习","研发LLM、RL、IL、CV等具身算法并推进ROS机器人算法工程化，要求深度学习背景、C/C++与Python以及算法论文或竞赛成果。","本科门槛和工程化取向相对友好，已有C、设备联调与交付经验可迁移至岗位的C++要求，但现代C++仍需补证；还需PyTorch、ROS2、VLA/IL真机成果和清晰实验指标，项目完成后再评估。","官方招聘详情页","https://maker.haier.net/client/job/detail/id/10223432/recommend_record/1","2026-03-25","2026-07-31"
"J035","P2 中长期","算法/研究能力门槛高于当前证据，应在 PyTorch、IL/RL、VLA 和真机评测完成后再评估。","国内·VLA/具身算法","中国大陆","海尔智家","具身视觉算法工程师","青岛","机器人视觉感知","本科及以上","3年以上","全职","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 深度学习; PyTorch; TensorRT; ONNX; 边缘推理; 计算机视觉; 相机/传感器/标定","目标检测/分割/跟踪; 数据闭环","Linux; Python/C++; PyTorch; OpenCV; ONNX; TensorRT; ROS/ROS2; 目标检测/分割/跟踪; 多传感器融合; 数据闭环","研发机器人检测、分割、定位、跟踪、场景理解和多传感器融合算法，负责模型部署联调、数据闭环及真实场景失效分析。","Linux、传感器与系统联调基础可迁移，但现代C++尚无项目证据；本科门槛相对现实，仍需补做相机/点云、PyTorch视觉模型、ONNX/TensorRT与ROS2整机联调项目。","官方招聘详情页","https://maker.haier.net/client/mobile/socialdetail/id/10223814","页面仅标注03月30日，年份未注明","2026-07-31"
"J036","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·机器人系统工程","中国大陆","上海人工智能实验室","软件工程师/Web端开发工程师","上海","机器人交互平台与三维可视化","硕士及以上","未注明；具身智能、自动驾驶可视化或机器人/无人机调度平台经验优先","全职","Python; C++; ROS 生态; ROS 2; Git/CI/CD; gRPC/服务通信; IPC/网络编程","Vue; React; Node.js; Go; Three.js; WebGL; rosbridge; WebRTC","Vue; React; Node.js; Python; Go; C++; Three.js; WebGL; ROS; ROS2; rosbridge; WebSocket; WebRTC; Git","负责异构机器人交互与控制平台全栈开发、多模态图像和3D点云可视化、任务指令接口，以及Web端与ROS/ROS2底层硬件之间的低延迟通信。","方向高度匹配：Go、Vue/TypeScript、Flutter、设备通信与物联网平台经历可直接迁移；需补ROS2、Three.js/WebGL、WebRTC实证，且硕士学历门槛需要关注。","机构官方招聘页","https://www.shlab.org.cn/joinus/detail/7649605553270950185?mode=social","2026-06-10","2026-07-31"
"J037","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·机器人系统工程","中国大陆","上海人工智能实验室","机器人操作算法（VLA / World-Action Model 真机部署方向）实习生","上海","VLA真机部署与评测","在读本科生或研究生","可稳定实习6个月及以上；要求丰富的真机部署与系统优化经验","实习","Python; ROS 生态; ROS 2; 深度学习; PyTorch; VLA 族; LeRobot; CUDA/GPU; TensorRT; ONNX; 边缘推理; 机器人仿真; Isaac","","ROS2; Python; PyTorch; LeRobot; OpenPI; StarVLA; TensorRT; ONNX; CUDA; Isaac Sim; Isaac Lab; ManiSkill; RoboCasa","参与VLA/WAM算法复现、遥操作数据构建、真机与仿真评测、ROS2通信调优及推理加速，强调从模型到真实硬件的端到端落地。","方向高度契合拟做的LeRobot开源项目；设备通信和系统联调是优势，需补ROS2、PyTorch、LeRobot、VLA复现及机械臂真机成果。","机构官方招聘页","https://www.shlab.org.cn/joinus/detail/7658104547239823657?mode=campus&subject=7619221867426433326","2026-07-03","2026-07-31"
"J038","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·机器人系统工程","中国大陆","北京原力灵机智能科技有限公司","机器人系统开发实习生","北京","机器人系统集成与测试","本科大三及以上或硕士在读","未注明；机械臂或移动机器人项目经验优先","实习","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 相机/传感器/标定; 运动控制","Shell; 实时通信; 自动化测试","C++; Python; ROS; ROS2; Linux; Shell; 传感器集成; 实时通信; 自动化测试; 多传感器数据; 运动控制调试","参与传感器与实时通信模块、多传感器数据流水线、运动控制功能测试、自动化测试和多模块系统联调，覆盖机器人软件栈从硬件驱动到系统集成。","设备通信、协议联调、测试工具和系统交付经验可迁移；需补ROS2和机械臂实践，同时在读身份是实际投递限制，更适合作为项目能力标杆。","高校公开就业平台","https://career.nankai.edu.cn/correcruit/content/id/115086.html","2026-04-14","2026-07-31"
"J039","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·机器人系统工程","中国大陆","赛博格机器人","SLAM算法工程师","不限","机器人定位建图与边缘部署","硕士及以上","2026届校招；人形、四足或轮足机器人SLAM经验优先","全职","C++; Linux/Ubuntu; ROS 生态; ROS 2; 相机/传感器/标定; SLAM/定位导航; 嵌入式/MCU/RTOS","IMU; 时间同步; 图优化; EKF; ESKF; 因子图","C++; Linux; ROS; ROS2; 激光SLAM; LiDAR; IMU; 多传感器标定; 时间同步; 图优化; EKF; ESKF; 因子图; 嵌入式部署","负责轮式与双足人形机器人的实时定位建图、里程计/IMU/激光融合、地形地图、多传感器时空同步，以及嵌入式平台上的算法加速与性能调优。","嵌入式部署和多设备联调能力可迁移，但硕士与2026届校招限制、SLAM算法、融合定位和标定经验都是硬缺口，适合作为长期能力标杆。","高校公开就业平台","https://career.cuhk.edu.cn/job/view/id/468865","2026-07-22","2026-07-31"
"J040","P0 近期核验","岗位方向与现有 Linux/设备通信/端边云/平台交付存在迁移重合，仍需逐条核验机器人专项技能、年限、学历与用工条件。","国内·机器人系统工程","中国大陆","天津小橙集团有限公司","数据平台工程师","北京","机器人多模态数据闭环","本科及以上","未注明；具身智能或机器人数据集构建经验优先","未注明","Python; Linux/Ubuntu; ROS 生态; ROS 2; LeRobot; 相机/传感器/标定; 机器人仿真; Isaac; Gazebo/Webots/PyBullet; 数据管线/ETL; 机器人数据格式; Docker/容器; Git/CI/CD; SQL/数据库","","Python; ROS2; rosbag2; Ubuntu; Linux; Docker; SQL; Git; LeRobot; HDF5; RLDS; 数据Pipeline; 多传感器时间同步; Isaac Sim; Gazebo","建设机器人多模态数据采集、存储、时空对齐、质检、标注与版本治理流程，定义动作/观测空间并支撑规模化训练数据生产。","是很现实的转型方向：数据库、物联网平台、设备数据链路和工程交付可直接迁移；需用EdgeVLA项目补齐LeRobot、ROS2/rosbag2、时间同步与数据集版本治理。","高校公开就业平台","https://career.nankai.edu.cn/correcruit/content/id/116186.html","2026-06-29","2026-07-31"
"J041","P0 近期核验","岗位方向与现有 Linux/设备通信/端边云/平台交付存在迁移重合，仍需逐条核验机器人专项技能、年限、学历与用工条件。","国内·机器人系统工程","中国大陆","天津小橙集团有限公司","前端 / 嵌入式交互工程师","北京","机器人HMI与设备端集成","本科及以上","未注明；医疗、养老或陪伴类交互产品经验优先","未注明","C++; Linux/Ubuntu; ROS 生态; ROS 2; 机器人仿真; Gazebo/Webots/PyBullet","Qt; QML; React; Vue; Electron; RViz; ASR; TTS; Whisper; Paraformer","ROS2; Ubuntu; Linux; Qt; QML; React; Vue; Electron; C++; RViz; Gazebo; ASR; TTS; Whisper; Paraformer","负责机器人触屏HMI、状态与动作可视化、语音交互、分级安全交互逻辑和设备端集成，并通过ROS2完成界面与控制链路联调。","当前匹配度较高：Vue、Flutter、嵌入式和设备端联调可形成组合优势；主要补项是ROS2、Qt/QML、语音链路和机器人可视化工具。","高校公开就业平台","https://career.nankai.edu.cn/correcruit/content/id/116185.html","2026-06-29","2026-07-31"
"J042","P1 作品/专项补证后","完成 ROS2、LeRobot 真机或仿真闭环和现代 C++ 证据后再重点投递。","国内·机器人系统工程","中国大陆","海康机器人","软件开发工程师","杭州","机器人应用软件与系统集成","本科及以上","2年及以上C++和Python软件开发经验","全职","Python; C++; C; Linux/Ubuntu; ROS 生态; ROS 2; 计算机视觉; 相机/传感器/标定; 机器人仿真; Gazebo/Webots/PyBullet; CMake/Bazel","GDB; URDF; TF; RViz; rqt; AirSim; 网口; 串口","C; C++; Python; Linux; GDB; CMake; ROS; ROS2; URDF; TF; RViz; rqt; Gazebo; AirSim; OpenCV; 网口; 串口; 激光雷达; 双目相机; 红外传感器","负责机器人软件系统需求、架构、模块开发测试、跨团队联调和业务系统集成，强调Linux C++、Python、ROS2、通信接口、仿真与多传感器经验。","属于较现实目标：C/Linux、串口和网络通信、红外/雷达应用、跨端软件与项目交付均可迁移；需强化现代C++、GDB/CMake、ROS2与机器人仿真项目。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=A0EA0DB52FA4429C62644E92AB5B2D8A","2025-11-03","2026-07-31"
"J043","P1 作品/专项补证后","需另行完成与岗位一致的驱动、CAN/伺服、板级或平台 C++ 实证；EdgeVLA 作品本身不能替代该专项经验。","国内·机器人系统工程","中国大陆","上海人工智能实验室","嵌入式软件工程师","上海","机器人嵌入式与边缘部署","硕士及以上（特别优秀者可放宽至本科）","要求机器人、机器狗、无人机、智能设备或AI硬件相关经验，年限未注明","全职","C++; C; ROS 生态; ROS 2; 相机/传感器/标定; 运动控制; 嵌入式/MCU/RTOS","ARM; DSP; IMU; 双目视觉; TOF; Board Bring-up","C; C++; ARM; DSP; ROS; ROS2; IMU; 激光雷达; 双目视觉; TOF; FOC; 嵌入式边缘部署; Board Bring-up","负责机器人等智能硬件的底层驱动、ARM/DSP系统联调、传感器和执行器接口、运动控制或AI模型边缘部署及技术文档。","已有C、ARM、RTOS和通信联调经验可迁移至岗位的C++要求，但现代C++仍需补证；还需补Board Bring-up、驱动、ROS2、传感器融合和FOC实证。","机构官方招聘页","https://www.shlab.org.cn/joinus/detail/7649604717500893481?mode=social","2026-06-10","2026-07-31"
"J044","P1 作品/专项补证后","需另行完成与岗位一致的驱动、CAN/伺服、板级或平台 C++ 实证；EdgeVLA 作品本身不能替代该专项经验。","国内·机器人系统工程","中国大陆","海康机器人","嵌入式软件开发工程师-驱动","杭州","机器人驱动与实时控制","本科","未注明","全职","C++; C; RTOS/实时系统; CAN; 嵌入式/MCU/RTOS","STM32; Renesas; ARM; I2C; SPI; UART; 底层驱动; 硬件板卡; 伺服驱动器","C; C++; STM32; Renesas; ARM; I2C; SPI; UART; CAN; FreeRTOS; 底层驱动; 硬件板卡; 伺服驱动器","负责自研硬件板卡和伺服驱动器软件开发维护，要求ARM MCU、常见外设、FreeRTOS、芯片手册阅读和底层驱动适配能力。","C、MCU、UART、FreeRTOS和软硬件联调经验较匹配；CAN与伺服目前仅接触但无项目证据，需通过真实驱动适配和电机接口项目补强后再投递。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=96EE10F1A5D710CAB01B1A808269BF2F","2026-05-19","2026-07-31"
"J045","P2 中长期","岗位含算法、控制、SLAM 或系统架构专项门槛，112 天作品不能替代相应理论、真机和年限证据。","国内·机器人系统工程","中国大陆","天津小橙集团有限公司","机械臂控制 / 力控工程师","北京","机械臂控制与安全系统","本科及以上","未注明；协作机械臂、多设备协同或实时控制经验优先","未注明","Python; C++; Linux/Ubuntu; ROS 生态; ROS 2; 相机/传感器/标定; 机器人仿真; MuJoCo; Gazebo/Webots/PyBullet; EtherCAT","MoveIt; ros2_control; 阻抗控制; 导纳控制; CoppeliaSim; 看门狗; 急停","C++; Python; ROS2; MoveIt; ros2_control; Ubuntu; Linux; EtherCAT; 阻抗控制; 导纳控制; 六维力传感器; Gazebo; MuJoCo; CoppeliaSim; PyBullet; 看门狗; 急停","负责协作机械臂集成和二次开发、阻抗/导纳力控、力传感器标定、多设备时序同步，并建立看门狗与急停等实时安全机制。","设备集成、通信与可靠性设计可迁移，但机械臂、力控、EtherCAT、ROS2/MoveIt和伺服控制都是核心缺口，适合作为EdgeVLA真机阶段的进阶目标。","高校公开就业平台","https://career.nankai.edu.cn/correcruit/content/id/116184.html","2026-06-29","2026-07-31"
"J046","P0 近期核验","岗位方向与现有 Linux/设备通信/端边云/平台交付存在迁移重合，仍需逐条核验机器人专项技能、年限、学历与用工条件。","国内·机器人系统工程","中国大陆","海康机器人","Linux软件开发工程师","杭州","工业机器人Linux应用","本科及以上","未注明","全职","Python; C++; C; Linux/Ubuntu; RTOS/实时系统; IPC/网络编程; EtherCAT","多线程; 网卡驱动; Profinet; Bash","C; C++; Linux; Socket; 多线程; 进程间通信; Xenomai; Preempt-RT; Linux内核; 网卡驱动; EtherCAT; Profinet; Python; Bash","开发维护Linux应用并支持现场调试，重点考察C/C++、网络、多线程、IPC，实时Linux、内核/网卡驱动和工业总线经验优先。","当前匹配度较高：嵌入式Linux应用、网络通信和现场联调可直接迁移；需强化现代C++、IPC、实时Linux与EtherCAT实践。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=B5364D0B030C22EAF7AB6C4E5116EC17","2026-03-18","2026-07-31"
"J047","条件过滤","页面包含 5 年及以上或资深年限门槛，需先核验是否有放宽空间。","国内·机器人系统工程","中国大陆","海康机器人","嵌入式软件开发工程师（机器视觉）","杭州","机器视觉嵌入式应用","本科及以上","3-5年","全职","C++; C; Linux/Ubuntu; IPC/网络编程; 网络/MQTT","STL; 多线程; GDB; 反汇编; 性能分析; FPGA; ISP; SoC","C; C++; C++11; STL; Linux; TCP/IP; Socket; 多线程; 进程间通信; GDB; 反汇编; 性能分析; FPGA; ISP; SoC","负责智能硬件软件开发、复杂模块优化、算法集成与性能调优，要求Linux C++、网络/并发及疑难问题定位能力。","岗位方向与现有Linux应用、通信和产品交付经历相近；需补C++11/STL深度、GDB/性能工具、ISP与SoC接入案例。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=B893A288712CB9D717F31EEA5CB74AE4","2026-07-27","2026-07-31"
"J048","P0 近期核验","岗位方向与现有 Linux/设备通信/端边云/平台交付存在迁移重合，仍需逐条核验机器人专项技能、年限、学历与用工条件。","国内·机器人系统工程","中国大陆","海康机器人","嵌入式软件开发工程师（AGV）","杭州","AGV嵌入式应用","本科及以上","未注明","全职","Python; C++; C; Linux/Ubuntu; 相机/传感器/标定; RTOS/实时系统; IPC/网络编程; 嵌入式/MCU/RTOS","多线程; Bash; uC/OS-II","C; C++; Linux; RTOS; Socket; 多线程; 进程间通信; Python; Bash; FreeRTOS; uC/OS-II; 工业相机; 图像Sensor","设计维护AGV相关Linux或RTOS应用，完成需求实现、文档、测试和现场支持，工业相机与图像Sensor调试经验优先。","现有MCU/RTOS、Linux通信、设备管理和现场交付经验较匹配；补充ROS2/AGV基础与工业相机接入可提升竞争力。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=FA94C95524B488D2A90D7B4328B38752","2026-07-01","2026-07-31"
"J049","P1 作品/专项补证后","需另行完成与岗位一致的驱动、CAN/伺服、板级或平台 C++ 实证；EdgeVLA 作品本身不能替代该专项经验。","国内·机器人系统工程","中国大陆","海康机器人","应用软件开发工程师（C++）","杭州","机器人C++平台软件","未注明","未注明","全职","Python; C++; C; Linux/Ubuntu; IPC/网络编程","多线程; 多进程; Windows驱动; NDIS; macOS; Android; C#; Java; GenICam; GigE Vision","C; C++; 多线程; 多进程; 网络编程; Windows驱动; NDIS; Linux; macOS; Android; C#; Python; Java; GenICam; GigE Vision","负责服务程序和底层组件设计开发、性能优化与核心问题攻关，强调C++并发网络、跨平台、设备驱动及机器视觉协议。","网络通信和跨端开发经验可迁移；但岗位强调高级C++公共组件、Windows驱动和机器视觉协议，需要专项补强。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=B9FBE7DEFCCF0F52D1AEF3A309D55236","2026-07-27","2026-07-31"
"J050","条件过滤","页面包含 5 年及以上或资深年限门槛，需先核验是否有放宽空间。","国内·机器人系统工程","中国大陆","海康机器人","运控架构专家（工控）","杭州","运动控制系统架构","未注明","10年以上","全职","运动控制; CAN; EtherCAT","伺服控制; PLC; 三环控制; Profinet","运动控制; 伺服控制; PLC; 三环控制; EtherCAT; Profinet; CAN","负责整体运动控制软件架构、控制策略和PLC/伺服链路，要求十年以上运控产品、伺服调优及工业总线经验。","不适合当前直接投递，但清晰揭示控制专家路线的核心壁垒：伺服、PLC、三环调优、EtherCAT/CAN与长期产品经验。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=F309CA7D76A3CF8EF6D0E10079DFFF31","2026-07-27","2026-07-31"
"J051","P2 中长期","岗位含算法、控制、SLAM 或系统架构专项门槛，112 天作品不能替代相应理论、真机和年限证据。","国内·机器人系统工程","中国大陆","海康机器人","电机控制算法工程师（工控）","杭州","伺服电机控制","本科及以上","未注明","全职","运动控制; PID; CAN; EtherCAT","SVPWM; MATLAB; Simulink; PLC; 伺服控制","PID; FOC; SVPWM; MATLAB; Simulink; EtherCAT; CANopen; PLC; 伺服控制","研发伺服电机电流环、自适应、观测器和补偿算法，进行MATLAB/Simulink建模仿真并涉及EtherCAT/CANopen。","与现有经历差距较大；CAN仅有接触不能替代电机控制项目，需要先完成FOC/PID仿真和真实电机闭环实验。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=9C28D893C7A9ED62AC0911608B3B17D2","2026-07-15","2026-07-31"
"J052","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·机器人系统工程","中国大陆","海康机器人","运动控制算法工程师（工控）","杭州","运动控制与路径规划","硕士及以上","3年以上","全职","运动规划; 运动控制; PID; CAN; EtherCAT","自动化测试; PLCopen; IEC 61131; 自适应控制; MATLAB","运动控制; 路径规划; 自动化测试; PLCopen; IEC 61131; PID; 自适应控制; MATLAB; EtherCAT; CANopen","负责控制端架构、路径规划、算法仿真测试平台，要求三年以上控制算法经验及PLCopen、PID、MATLAB和工业总线能力。","属于算法控制路线的进阶岗；现有软件工程能力可支撑测试平台部分，但学历、控制理论和运控项目经验不足。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=34D120423CCEE750C1A0E1E5ECC540F8","2026-07-27","2026-07-31"
"J053","条件过滤","页面包含 5 年及以上或资深年限门槛，需先核验是否有放宽空间。","国内·机器人系统工程","中国大陆","海康机器人","嵌入式软件工程师-工控PLC","西安","工业控制实时软件与运动控制","未注明","5-7年及以上嵌入式Linux或RTOS开发经验","全职","Linux/Ubuntu; 运动规划; RTOS/实时系统; EtherCAT; 嵌入式/MCU/RTOS","PLC; PLCopen; CiA402; 单轴控制; 多轴协同; 电子齿轮; 电子凸轮; 插补","Linux; RTOS; PLC; PLCopen; EtherCAT; CiA402; 实时系统; 单轴控制; 多轴协同; 电子齿轮; 电子凸轮; 插补; 轨迹规划","负责工业控制系统架构、核心组件移植维护和PLCopen运动控制功能块实现，覆盖单轴、多轴协同、插补、轨迹规划及实时性能优化。","Linux/RTOS和嵌入式架构经验可部分迁移，但年限、EtherCAT/CiA402、PLCopen和多轴运动控制均是明显缺口，适合作为工业机器人实时控制路线的进阶标杆。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=AD87E4F5FF5B9FD26CCAE0FAE76C178F","2026-07-27","2026-07-31"
"J054","P2 中长期","当前本科学历不满足页面显示的严格硕士门槛。","国内·机器人系统工程","中国大陆","海康机器人","具身算法工程师","杭州","机器人感知与部署","硕士及以上","未注明","全职","Python; C++; C; 深度学习; 相机/传感器/标定","目标检测; 语义分割; 目标跟踪; 位姿估计; 三维重建","C; C++; Python; 深度学习; 目标检测; 语义分割; 目标跟踪; 位姿估计; 三维重建; 激光雷达; 3D相机","为机器人任务、导航和操作规划开发环境及操作感知算法，完成感知模型训练、部署和传感器调试。","传感器应用和设备集成经历有一定关联，但岗位核心是视觉/3D感知算法与硕士背景，需以RGB-D/点云真机项目补齐。","公司官方招聘页","https://talent.hikvision.com/home/socity/position?postId=27F6A082B7E6C850E7DA0CD3324A37BF","2026-07-20","2026-07-31"
"J055","P2 中长期","岗位含算法、控制、SLAM 或系统架构专项门槛，112 天作品不能替代相应理论、真机和年限证据。","国内·机器人系统工程","中国大陆","百度","自动驾驶系统架构工程师（J85775）","北京","实时系统与中间件","未注明","未注明","全职","C++; C; Linux/Ubuntu; CUDA/GPU; 边缘推理","自动驾驶OS; 通信中间件; 推理框架; 性能调优","C; C++; Linux; 自动驾驶OS; 通信中间件; 推理框架; GPU; 模型量化; 性能调优","研发车规自动驾驶OS、通信中间件和推理框架，优化调度、资源管理和GPU异构计算，满足实时性与高稳定性。","通信、Linux应用和稳定性排障可迁移，但该岗需要大型系统架构、性能调优和异构推理框架经验。","公司官方招聘页","https://talent.baidu.com/jobs/detail/SOCIAL/a79cc583-6f9a-41dc-b77c-544b93d91a4b","2026-07-21","2026-07-31"
"J056","P2 中长期","岗位含算法、控制、SLAM 或系统架构专项门槛，112 天作品不能替代相应理论、真机和年限证据。","国内·机器人系统工程","中国大陆","百度","自动驾驶路径规划算法工程师（J92977）","北京","路径规划与高并发系统","本科及以上","2年及以上","全职","C++; C; Linux/Ubuntu; 运动规划; IPC/网络编程","多线程; 图论; 高并发","C; C++; Linux; 网络编程; 多线程; 路径规划; 图论; 高并发","开发全局路径规划与ETA模块，优化规划策略和系统瓶颈，要求Linux C++、网络、多线程、图算法与高并发系统经验。","Linux网络编程与设备平台经验有部分匹配；主要缺口是图论、路径规划算法和大规模高并发工程证据。","公司官方招聘页","https://talent.baidu.com/jobs/detail/SOCIAL/117c2c73-2c2a-4b3c-9723-62e42ca2591b","2026-07-21","2026-07-31"
"J057","P2 中长期","岗位含算法、控制、SLAM 或系统架构专项门槛，112 天作品不能替代相应理论、真机和年限证据。","国内·机器人系统工程","中国大陆","百度","自动驾驶端到端模型算法工程师（J92529）","北京/上海","VLA与端到端规划","未注明","未注明","全职","Python; C++; VLA 族; VLM/多模态模型; 强化学习/RL; 模仿学习/IL","Neural Planner; 生成模型; 车端部署; 数据闭环","C++; Python; VLM; VLA; Neural Planner; 深度强化学习; 模仿学习; 生成模型; 车端部署; 数据闭环","研发预测、VLM/VLA和Neural Planner模型，覆盖数据生成、离线评测、车端部署和数据闭环。","属于算法型VLA岗位，当前不宜主投；可通过LeRobot真机项目建立模仿学习、数据闭环和推理部署的第一份证据。","公司官方招聘页","https://talent.baidu.com/jobs/detail/SOCIAL/fa8b1120-168a-49c5-83d4-ad91c03eaec8","2026-07-21","2026-07-31"
"J058","条件过滤","页面包含在读、实习或校招条件，2022 届社会招聘候选人需先核验资格。","国内·机器人系统工程","中国大陆","百度","生态研发组_实习PNC规控算法工程师（J71278）","北京","规划控制与实车调试","未注明","至少实习3个月","实习","C++; Linux/Ubuntu; ROS 生态; 运动规划; 运动控制; MPC; PID; Sim-to-Real/仿真","GDB; DP; QP; Apollo","C++; Linux; ROS; GDB; DP; QP; Hybrid A*; RRT; MPC; PID; Apollo; 仿真测试","开发Apollo L4决策、路径规划和运动控制算法，进行仿真、实车调试与迭代，要求C++/Linux/ROS及常见规控算法。","可作为机器人规控学习清单；GDB、Linux和工程调试可迁移，但规控算法、ROS和Apollo仍需系统学习。","公司官方招聘页","https://talent.baidu.com/jobs/detail/INTERN/35e63a50-5df8-4024-b0e6-93ab676efd06","2026-07-21","2026-07-31"
